Timestamp                       (process)[PID]    
2022-11-11 00:07:14.380696+0800  localhost kernel[0]: (AppleACPIPlatform) SSDT 0x000000004ED9A000 002703 (v02 Intel  PegSsdt  00001000 INTL 20160527)
2022-11-11 00:07:14.380697+0800  localhost kernel[0]: (AppleACPIPlatform) SSDT 0x000000004ED9A000 002703 (v02 Intel  PegSsdt  00001000 INTL 20160527)
2022-11-11 00:07:14.380698+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.380698+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.380715+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.380715+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.380717+0800  localhost kernel[0]: (AppleACPIPlatform) HPET 0x000000004EDDF000 000038 (v01 ALASKA A M I    01072009 AMI  01000013)
2022-11-11 00:07:14.380717+0800  localhost kernel[0]: (AppleACPIPlatform) HPET 0x000000004EDDF000 000038 (v01 ALASKA A M I    01072009 AMI  01000013)
2022-11-11 00:07:14.380718+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.380719+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.380896+0800  localhost kernel[0]: Couldn't alloc class "AppleKeyStoreTest"
2022-11-11 00:07:14.380900+0800  localhost kernel[0]: (SMCRadeonGPU) <compose failure [UUID]>
2022-11-11 00:07:14.380904+0800  localhost kernel[0]: (SMCRadeonGPU) <compose failure [UUID]>
2022-11-11 00:07:14.380938+0800  localhost kernel[0]: (IOTimeSyncFamily) IOTimeSyncClockManager::init created and initing
2022-11-11 00:07:14.380945+0800  localhost kernel[0]: (IOTimeSyncFamily) IOTimeSyncClockManager::start starting
2022-11-11 00:07:14.380949+0800  localhost kernel[0]: (IOTimeSyncFamily) Assert: orderedLookup->getCount() > 0 (value 0x0 0),  file: /AppleInternal/Library/BuildRoots/5addff21-4707-11ed-b0b5-2e32217d8374/Library/Caches/com.apple.xbs/Sources/TimeSync_kext/IOTimeSyncFamily/IOTimeSyncClockManager.cpp, line: 1097
2022-11-11 00:07:14.380965+0800  localhost kernel[0]: (IOTimeSyncFamily)   IOTimeSyncTranslationMach(0xffffffffffffffff): Set lock state to locked.
2022-11-11 00:07:14.380972+0800  localhost kernel[0]: (IOTimeSyncFamily) IOTimeSyncClockManager::start ending
2022-11-11 00:07:14.381887+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.381888+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.381889+0800  localhost kernel[0]: (AppleACPIPlatform) SSDT 0x000000004ED97000 002FB1 (v02 INTEL  xh_cmvd4 00000000 INTL 20160527)
2022-11-11 00:07:14.381890+0800  localhost kernel[0]: (AppleACPIPlatform) SSDT 0x000000004ED97000 002FB1 (v02 INTEL  xh_cmvd4 00000000 INTL 20160527)
2022-11-11 00:07:14.381891+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.381892+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.381912+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.381914+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.381915+0800  localhost kernel[0]: (AppleACPIPlatform) NHLT 0x000000004ED96000 00002D (v00 ALASKA A M I    01072009 AMI  01000013)
2022-11-11 00:07:14.381916+0800  localhost kernel[0]: (AppleACPIPlatform) NHLT 0x000000004ED96000 00002D (v00 ALASKA A M I    01072009 AMI  01000013)
2022-11-11 00:07:14.381917+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.381917+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.381941+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
